[20:05:37] [Login] 33 -  - 127.0.0.1
[20:06:02] [LOGOUT] ID: 33 | IP: 127.0.0.1
[20:14:09] [Login] 1 -  - 127.0.0.1
[20:15:12] [LOGOUT] ID: 1 | IP: 127.0.0.1
[20:21:48] [Login] 1 - HerpDerp - 127.0.0.1
[20:21:58] [LOGOUT] ID: 1 | IP: 127.0.0.1
[20:31:26] [Login] 1 - HarrDarrr - 127.0.0.1
[20:34:38] [Login] 1 - Durr - 127.0.0.1
[20:35:02] [LOGOUT] ID: 1 | IP: 127.0.0.1
[20:36:38] [Login] 1 - Herro - 127.0.0.1
[20:37:03] [LOGOUT] ID: 1 | IP: 127.0.0.1
[20:40:22] [Login] 1 - Yelow - 127.0.0.1
[20:41:34] [LOGOUT] ID: 1 | IP: 127.0.0.1
[20:46:49] [Login] 1 - 1234 - 127.0.0.1
[20:52:22] [Login] 1 - Yarr - 127.0.0.1
[20:59:42] [Login] 1 - PowerPoke - 127.0.0.1
[21:00:21] [LOGOUT] ID: 1 | IP: 127.0.0.1
[21:00:33] [Login] 4 - PowerPoke - 127.0.0.1
[21:00:38] [LOGOUT] ID: 4 | IP: 127.0.0.1
[21:06:07] [Login] 1 - spiritXmirren - 127.0.0.1
[21:07:09] [LOGOUT] ID: 1 | IP: 127.0.0.1
